"AMW","Auto Motion Work","AMW_36KTL_01","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AMW","Auto Motion Work","AMW_36KTL_02","39","151.81","190.07","132.24","130.53","125.78","155.57","140.37","129.91","191.45","155.55","173.71","184.78","191.92","186.76","223.31","196.02","","","","","","","","","","","","","","",""
"AMW","Auto Motion Work","AMW_36KTL_03","39","152.53","188.82","133.69","131.74","126.8","156.38","141.59","130.83","192.35","156.46","175.54","186.91","192.49","187.7","224.46","195.74","","","","","","","","","","","","","","",""
"AMW","Auto Motion Work","AMW_36KTL_04","39","155.07","200.55","139.76","134.13","129.06","161.28","143.97","134.47","197.06","160.97","181.41","188.68","201.38","193.1","229.77","200.66","","","","","","","","","","","","","","",""
"A-PLA HIGHTECH(Branch 2)","A-PLA","A-PLA inv(COM1-1)","133","334.68","557.69","305.97","178.1","474.76","439.53","576.61","650.58","364.67","674.62","610.54","369.39","466.33","551.21","533.57","533.02","","","","","","","","","","","","","","",""
"A-PLA HIGHTECH(Branch 2)","A-PLA","A-PLA inv(COM1-2)","133","334.41","558.92","306.45","177.48","474.05","439.48","577.43","652.96","364.01","677.16","611.61","369.92","466.73","551.59","533.82","533.16","","","","","","","","","","","","","","",""
"A-PLA HIGHTECH(Branch 2)","A-PLA","A-PLA inv(COM1-3)","133","331.93","556.97","331.47","177.04","452.61","428.48","573.19","608.7","374.86","654.79","594.35","368.9","467.14","533.97","559.94","535.19","","","","","","","","","","","","","","",""
"A-PLA HIGHTECH(Branch 2)","A-PLA","A-PLA inv(COM1-4)","133","331.74","557.76","328.88","175.57","448.55","427.54","572.21","607.88","372.44","652.96","592.14","368.53","464.11","532.18","558.49","533.37","","","","","","","","","","","","","","",""
"BMC 138.60 kWp (Eternal Resonac Materials)","BMC (Eternal Resin)","BMC-INV01-50kW","55.44","239.45","275.43","165","136","236.04","214.34","199.44","304.13","250.55","270.33","241.79","198.35","250.65","291.59","269.53","199.24","","","","","","","","","","","","","","",""
"BMC 138.60 kWp (Eternal Resonac Materials)","BMC (Eternal Resin)","BMC-INV02-50kW","55.44","225.81","274.29","165.74","130.12","222.09","203","213.47","292.19","247.85","265.73","239.35","201.95","260.88","288.13","273.38","207.15","","","","","","","","","","","","","","",""
